0.012400000000000001 5.49e-19
0.013800000000000002 7.68e-19
0.0155 9.88e-19
0.0177 1.76e-18
0.0207 2.96e-18
0.0253 4.94e-18
0.0264 5.38e-18
0.027600000000000003 5.93e-18
0.028800000000000003 6.59e-18
0.0302 7.24e-18
0.0318 7.79e-18
0.0335 8.56e-18
0.0354 9.33e-18
0.0376 1.02e-17
0.04 1.12e-17
0.0428 1.22e-17
0.045899999999999996 1.34e-17
0.049600000000000005 1.46e-17
0.053899999999999997 1.58e-17
0.059000000000000004 1.72e-17
0.0653 1.82e-17
0.0729 1.71e-17
0.08270000000000001 1.57e-17
0.09540000000000001 1.34e-17
0.113 7.35e-18
0.138 1.65e-18
0.177 1.65e-18
0.248 0.0
