0.00099 1.4e-19
0.00134 2.9e-19
0.00446 3.1e-19
0.0068 9e-19
0.01 1.9e-18
0.02093 9e-18
0.02472 1.23e-17
0.03038 1.7e-17
0.043003 1.8e-17
0.043500000000000004 2.1e-17
0.050755 2.3e-17
0.050820000000000004 2.4e-17
0.05222 2.1e-17
0.05258 2.5e-17
0.053700000000000005 2.1e-17
0.05533 2.6e-17
0.05541 2.6e-17
0.055450000000000006 2.6e-17
0.05553 2.6e-17
0.05843 2.3e-17
0.05996 2.8e-17
0.061 2.7e-17
0.0625 2.5e-17
0.06297 3e-17
0.0685 2.6e-17
0.06855 1.8e-17
0.06858 1.8e-17
0.06863 2.2e-17
0.07023 2.4e-17
0.07038 2.6e-17
0.07611 2e-17
0.07651000000000001 2.3e-17
0.07704000000000001 1.8e-17
0.07803 2.8e-17
0.07876999999999999 2.4e-17
0.07901000000000001 2.8e-17
0.07901999999999999 2.8e-17
0.08328 2.6e-17
0.08337 1.3e-17
0.08345000000000001 1.1e-17
0.08351 1e-17
0.08353000000000001 1e-17
0.09040000000000001 1.1e-17
0.09307 2.6e-17
0.09378 5e-18
0.09497 6.3e-18
0.09725 3.2e-17
0.09770000000000001 4e-18
0.09898000000000001 1.4e-18
0.09916 1.75e-18
0.10257 1.58e-18
0.10319 1.04e-18
0.10376 7.8e-19
0.10857 2e-18
0.11757 1.3e-18
0.12065000000000001 1.5e-17
0.12157 1e-20
