Press O2 H2O O3
0.00179 0.2099 5.748e-06 4.509e-06
0.001911 0.2099 5.706e-06 4.67e-06
0.002042 0.2099 5.661e-06 4.829e-06
0.002182 0.2099 5.614e-06 4.984e-06
0.002333 0.2099 5.564e-06 5.136e-06
0.002496 0.2099 5.513e-06 5.284e-06
0.00267 0.2099 5.459e-06 5.427e-06
0.002858 0.2099 5.403e-06 5.563e-06
0.003061 0.2099 5.345e-06 5.691e-06
0.003279 0.2099 5.286e-06 5.808e-06
0.003514 0.2099 5.225e-06 5.918e-06
0.003768 0.2099 5.163e-06 6.02e-06
0.004041 0.2099 5.099e-06 6.116e-06
0.004336 0.2099 5.034e-06 6.204e-06
0.004654 0.2099 4.968e-06 6.284e-06
0.004998 0.2099 4.9e-06 6.35e-06
0.005369 0.2099 4.832e-06 6.395e-06
0.005769 0.2099 4.763e-06 6.423e-06
0.006202 0.2099 4.694e-06 6.437e-06
0.006669 0.2099 4.624e-06 6.434e-06
0.007173 0.2099 4.553e-06 6.409e-06
0.007718 0.21 4.482e-06 6.358e-06
0.008305 0.21 4.411e-06 6.288e-06
0.00894 0.21 4.34e-06 6.201e-06
0.009625 0.21 4.269e-06 6.098e-06
0.01036 0.21 4.199e-06 5.979e-06
0.01116 0.21 4.128e-06 5.845e-06
0.01203 0.21 4.059e-06 5.695e-06
0.01296 0.21 3.99e-06 5.53e-06
0.01397 0.21 3.921e-06 5.352e-06
0.01506 0.21 3.854e-06 5.16e-06
0.01624 0.21 3.788e-06 4.957e-06
0.01751 0.21 3.723e-06 4.741e-06
0.0189 0.21 3.659e-06 4.513e-06
0.0204 0.21 3.597e-06 4.272e-06
0.02203 0.21 3.536e-06 4.022e-06
0.0238 0.21 3.476e-06 3.763e-06
0.02571 0.21 3.418e-06 3.499e-06
0.02779 0.21 3.362e-06 3.231e-06
0.03005 0.21 3.307e-06 2.962e-06
0.03251 0.21 3.253e-06 2.692e-06
0.03517 0.21 3.201e-06 2.424e-06
0.03807 0.21 3.151e-06 2.159e-06
0.04122 0.21 3.102e-06 1.898e-06
0.04464 0.21 3.056e-06 1.642e-06
0.04837 0.21 3.011e-06 1.394e-06
0.05242 0.21 2.968e-06 1.156e-06
0.05684 0.21 2.929e-06 9.344e-07
0.06166 0.21 2.894e-06 7.357e-07
0.06692 0.21 2.866e-06 5.686e-07
0.07266 0.21 2.843e-06 4.383e-07
0.07891 0.21 2.827e-06 3.437e-07
0.08571 0.21 2.816e-06 2.783e-07
0.09312 0.21 2.809e-06 2.337e-07
0.1012 0.21 2.804e-06 2.029e-07
0.1099 0.21 3.502e-06 1.806e-07
0.1194 0.21 4.416e-06 1.634e-07
0.1295 0.21 5.551e-06 1.494e-07
0.1404 0.21 6.959e-06 1.373e-07
0.1522 0.21 8.739e-06 1.266e-07
0.1648 0.21 1.11e-05 1.167e-07
0.1784 0.21 1.408e-05 1.076e-07
0.193 0.21 1.789e-05 9.927e-08
0.2086 0.21 2.315e-05 9.164e-08
0.2253 0.21 3.048e-05 8.475e-08
0.2432 0.21 4.054e-05 7.859e-08
0.2623 0.21 5.635e-05 7.311e-08
0.2826 0.21 8.048e-05 6.826e-08
0.3042 0.21 0.0001161 6.396e-08
0.3271 0.21 0.0001712 6.011e-08
0.3514 0.21 0.0002504 5.662e-08
0.377 0.21 0.0003617 5.342e-08
0.4041 0.21 0.0005153 5.043e-08
0.4328 0.21 0.0007216 4.761e-08
0.4631 0.21 0.0009989 4.49e-08
0.495 0.21 0.001364 4.228e-08
0.5287 0.21 0.001815 3.974e-08
0.5642 0.21 0.002381 3.729e-08
0.6017 0.21 0.003083 3.495e-08
0.6412 0.21 0.003885 3.277e-08
0.6828 0.21 0.004843 3.079e-08
0.7267 0.21 0.005929 2.906e-08
0.773 0.21 0.007154 2.762e-08
0.8217 0.21 0.008604 2.652e-08
0.873 0.21 0.0104 2.574e-08
0.9268 0.21 0.01267 2.526e-08
0.9833 0.21 0.01547 2.506e-08
