ID Converged Psurf H2O O O2 O3 H2O2
61312 True 0.2058779605802165 228293769314.99155 2.2829E+11 9.9982E-03 1.0008E-02 9.999E-03 5.014E-03
78607 True 0.20614338664851303 228298878384.72717 2.2830E+11 1.0015E-02 9.9948E-03 9.991E-03 4.989E-03
82513 True 0.20559731537693676 228215806116.54214 2.2822E+11 1.0020E-02 1.0020E-02 9.960E-03 4.956E-03
51683 True 0.20600287171847767 228251049425.16922 2.2825E+11 1.0017E-02 1.0005E-02 9.995E-03 4.962E-03
88645 True 0.20620549297805407 228299317281.27017 2.2830E+11 9.9856E-03 9.9939E-03 1.000E-02 5.010E-03
22439 True 0.20413905881116837 228234209164.7061 2.2823E+11 9.9965E-03 1.0103E-02 1.001E-02 4.956E-03
16285 True 0.2050953879354103 228316393787.8982 2.2832E+11 9.8935E-03 1.0057E-02 1.002E-02 4.985E-03
50626 True 0.20586628930756595 228283768300.73813 2.2828E+11 1.0000E-02 1.0013E-02 1.001E-02 5.001E-03
30574 True 0.20559731394166064 228220625589.7933 2.2822E+11 1.0018E-02 1.0017E-02 9.962E-03 4.961E-03
87319 True 0.20615321604193998 228292231978.86002 2.2829E+11 1.0016E-02 9.9942E-03 9.994E-03 4.990E-03
17738 True 0.20661332110143768 228281765797.30133 2.2828E+11 1.0036E-02 9.9679E-03 9.984E-03 5.030E-03
18251 True 0.20616509045005352 228306394053.68225 2.2831E+11 1.0037E-02 9.9926E-03 1.001E-02 5.006E-03
95248 True 0.20619470650585814 228279825872.07657 2.2828E+11 1.0006E-02 9.9919E-03 1.001E-02 5.001E-03
57433 True 0.20600971120953557 228339472033.75024 2.2834E+11 9.9303E-03 1.0012E-02 1.005E-02 4.997E-03
55533 True 0.2063967418669812 228298849523.526 2.2830E+11 1.0000E-02 9.9832E-03 9.995E-03 5.023E-03
55778 True 0.20617287786022706 228269376440.2441 2.2827E+11 1.0017E-02 9.9921E-03 1.000E-02 4.993E-03
54137 True 0.20683035161592694 228258225774.01154 2.2826E+11 9.9746E-03 9.9600E-03 1.002E-02 4.968E-03
34309 True 0.20592914437738907 228314842655.087 2.2831E+11 9.9723E-03 1.0005E-02 1.002E-02 4.994E-03
64355 True 0.20569024810763956 228291908896.49866 2.2829E+11 9.9975E-03 1.0017E-02 1.000E-02 5.011E-03
73931 True 0.2061472189778914 228337354075.87167 2.2834E+11 9.9710E-03 1.0001E-02 1.003E-02 5.017E-03
68872 True 0.20584801275596257 228263087602.6861 2.2826E+11 1.0001E-02 1.0014E-02 1.003E-02 5.029E-03
11660 True 0.20599373344259825 228244373217.18298 2.2824E+11 1.0020E-02 1.0004E-02 9.994E-03 4.957E-03
90164 True 0.20534428357099407 228310099608.66928 2.2831E+11 9.9873E-03 1.0040E-02 9.994E-03 5.015E-03
4800 True 0.20637139732277138 228302882774.77814 2.2830E+11 9.9899E-03 9.9851E-03 9.998E-03 5.046E-03
17914 True 0.20679431474518692 228289872463.6361 2.2829E+11 1.0036E-02 9.9590E-03 9.996E-03 5.024E-03
60684 True 0.20338116861579647 228209489974.1553 2.2821E+11 9.9960E-03 1.0141E-02 1.001E-02 4.933E-03
28849 True 0.20631056363068967 228301294870.60468 2.2830E+11 9.9933E-03 9.9884E-03 9.998E-03 5.034E-03
89144 True 0.205606431877435 228226976904.98608 2.2823E+11 1.0016E-02 1.0017E-02 9.965E-03 4.965E-03
1661 True 0.20589697137630195 228292299158.5605 2.2829E+11 9.9829E-03 1.0013E-02 1.000E-02 4.999E-03
47338 True 0.20605210260939003 228288606329.9659 2.2829E+11 1.0008E-02 1.0002E-02 1.000E-02 5.000E-03
3376 True 0.20634730845220003 228301889954.3065 2.2830E+11 9.9938E-03 9.9860E-03 9.997E-03 5.021E-03
6472 True 0.2063854058480841 228260188910.86084 2.2826E+11 1.0041E-02 9.9795E-03 1.000E-02 4.994E-03
68547 True 0.20603858562188082 228217641522.2013 2.2822E+11 1.0032E-02 9.9964E-03 9.990E-03 4.927E-03
93729 True 0.20598184786498672 228338321522.46625 2.2834E+11 9.9524E-03 1.0006E-02 1.004E-02 5.008E-03
19905 True 0.20629861347883013 228285649903.65482 2.2829E+11 1.0104E-02 9.9806E-03 9.993E-03 5.011E-03
56746 True 0.20563358479016788 228411143590.3435 2.2841E+11 9.8298E-03 1.0041E-02 1.009E-02 5.000E-03
18534 True 0.20763287162398153 228228259749.8969 2.2823E+11 9.9414E-03 9.9185E-03 1.004E-02 4.937E-03
89482 True 0.20438743061858555 228402108320.86884 2.2840E+11 9.7729E-03 1.0109E-02 1.005E-02 5.035E-03
50468 True 0.20643477793694898 228295028940.17996 2.2830E+11 1.0002E-02 9.9807E-03 1.001E-02 4.998E-03
10138 True 0.2053005403713754 228283143331.0474 2.2828E+11 1.0003E-02 1.0042E-02 1.000E-02 4.983E-03
75595 True 0.20641293389454915 228288767961.35318 2.2829E+11 1.0014E-02 9.9815E-03 9.996E-03 4.980E-03
88599 True 0.20733343591844555 228296853886.21704 2.2830E+11 1.0004E-02 9.9345E-03 1.004E-02 5.089E-03
18779 True 0.20778805696016475 228343314381.85486 2.2834E+11 1.0054E-02 9.9095E-03 1.002E-02 5.075E-03
1173 True 0.2060358875200725 228296935565.82922 2.2830E+11 1.0029E-02 1.0000E-02 9.987E-03 4.968E-03
62728 True 0.20651447060751246 228289589802.8297 2.2829E+11 1.0019E-02 9.9749E-03 9.989E-03 5.027E-03
50957 True 0.20456537286858337 228283778624.8581 2.2828E+11 9.9886E-03 1.0076E-02 1.001E-02 4.961E-03
39357 True 0.20319714326497706 228206810024.72522 2.2821E+11 9.9956E-03 1.0145E-02 1.001E-02 4.931E-03
42833 True 0.20680425668566527 228278963743.0165 2.2828E+11 1.0044E-02 9.9577E-03 9.986E-03 5.018E-03
27051 True 0.20611950665918702 228256482051.54922 2.2826E+11 1.0014E-02 9.9949E-03 9.988E-03 4.979E-03
64917 True 0.20683031379325156 228314174687.6738 2.2831E+11 9.9656E-03 9.9633E-03 1.005E-02 5.080E-03
6629 True 0.2054665970547235 228354193583.20126 2.2835E+11 9.9186E-03 1.0040E-02 1.004E-02 5.009E-03
39564 True 0.20609218797348586 228316289086.34235 2.2832E+11 1.0001E-02 1.0001E-02 1.001E-02 4.991E-03
48679 True 0.20804448508554252 228181423626.93146 2.2818E+11 1.0399E-02 9.8653E-03 9.946E-03 4.989E-03
13439 True 0.2062791612040789 228309908729.1704 2.2831E+11 9.9950E-03 9.9899E-03 1.001E-02 4.996E-03
90854 True 0.2064968310554022 228250523543.53983 2.2825E+11 1.0053E-02 9.9718E-03 1.000E-02 4.992E-03
79124 True 0.2066669845348489 228288141813.7084 2.2829E+11 1.0022E-02 9.9670E-03 9.996E-03 5.040E-03
21531 True 0.20436082138742823 228390192490.23383 2.2839E+11 9.7865E-03 1.0112E-02 1.004E-02 5.028E-03
59781 True 0.2056064309325591 228228290675.7091 2.2823E+11 1.0016E-02 1.0017E-02 9.966E-03 4.965E-03
22558 True 0.20577305398705426 228305543591.9825 2.2831E+11 9.9464E-03 1.0024E-02 1.001E-02 5.002E-03
95360 True 0.2058755521760032 228359674850.3255 2.2836E+11 9.9013E-03 1.0019E-02 1.006E-02 4.997E-03
681 True 0.20729815634801135 228312182338.64713 2.2831E+11 1.0049E-02 9.9328E-03 1.000E-02 5.047E-03
55606 True 0.20584822221478227 228383146195.6545 2.2838E+11 9.9371E-03 1.0022E-02 1.005E-02 5.038E-03
26317 True 0.20787178209435572 228217293603.2674 2.2822E+11 9.9283E-03 9.9071E-03 1.005E-02 4.929E-03
67347 True 0.20590762538250384 228306303952.4053 2.2831E+11 9.9887E-03 1.0011E-02 9.996E-03 5.031E-03
12586 True 0.2070031151445443 228171080627.87054 2.2817E+11 1.0063E-02 9.9405E-03 9.976E-03 4.903E-03
44122 True 0.2058730263797731 228362478477.53613 2.2836E+11 9.9029E-03 1.0017E-02 1.005E-02 4.992E-03
22658 True 0.20739464556660844 228241853942.7019 2.2824E+11 9.9692E-03 9.9303E-03 1.002E-02 4.968E-03
11120 True 0.2053442848814781 228310068266.85306 2.2831E+11 9.9874E-03 1.0040E-02 9.993E-03 5.015E-03
